time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
45,1033,47104,23,1407.15625,574.0430297851562,0.6200869,0.2,-1.3676444560289382,0.00025,-0.005391791297734016,382.6783612728119,0.00612236,164.34652709960938,0.010400390625,220,,
47,1040,49152,24,1455.4242424242425,595.119873046875,0.83944046,0.2,-1.3669416628777982,0.00025,-0.004377050371840596,346.7068413734436,0.0062909666,115.1403579711914,0.015380859375,230,,
,,50000,,,,0.6951983,0.2,-1.3686186548322439,0.00025,-0.006971882988727885,200.7325862646103,0.009292001,35.08137893676758,0.061962890625,240,33.43579864501953,2416.9
54,946,51200,25,1471.764705882353,605.5021362304688,,,,,,,,,,,,
55,955,53248,26,1388.5,579.9345092773438,0.4665851,0.2,-1.3697132907807827,0.00025,-0.003576215384964598,221.89109551906586,0.011790745,88.16487884521484,0.023193359375,250,,
57,962,55296,27,1388.5,579.9345092773438,0.77785176,0.2,-1.3634190935641528,0.00025,-0.002652774083253462,568.5465106964111,0.0049692597,405.0590515136719,0.000732421875,260,,
59,970,57344,28,1328.3255813953488,531.978271484375,-1.0763736,0.2,-1.3693231776356698,0.00025,-0.004899928224040196,47.97350024878979,0.00922942,12.209845542907715,0.03828125,270,,
60,977,59392,29,1305.0454545454545,523.0579223632812,0.7147281,0.2,-1.3670574687421322,0.00025,-0.0020975416744477117,412.50774178504946,0.006067009,145.81752014160156,0.003466796875,280,,
62,983,61440,30,1342.7111111111112,518.052001953125,0.8765191,0.2,-1.3640956666320563,0.00025,-0.0044249271057196895,130.63406099081038,0.006039712,26.744375228881836,0.030126953125,290,,
64,989,63488,31,1378.7391304347825,516.7596435546875,0.55260533,0.2,-1.3636621091514827,0.00025,-0.0013021243332332233,113.9247887790203,0.0030435212,94.61530303955078,0.0,300,,
65,995,65536,32,1378.7391304347825,516.7596435546875,0.8733209,0.2,-1.370525947213173,0.00025,-0.006683350520324894,97.08754822313786,0.008791041,42.35472869873047,0.068896484375,310,,
67,1001,67584,33,1413.2340425531916,531.4183959960938,0.20122606,0.2,-1.3745322570204734,0.00025,-0.002236685204843525,201.98251843452454,0.0045888512,75.18474578857422,0.0,320,,
