#{"t_start": 1761279856.0332873, "env_id": "None"}
r,l,t,result,match_ratio,page
90.03,47,792.791863,partial,0.7333333333333333,done
104.17,83,799.524434,partial,0.9333333333333333,done
86.09,41,804.289789,partial,0.8,done
85.51,49,809.248789,partial,0.8,done
105.47,53,815.270542,partial,0.9333333333333333,done
64.17,83,826.041948,partial,0.9333333333333333,done
26.69,31,829.565521,incomplete,0.0,index.html
95.38,62,835.618018,partial,0.9333333333333333,done
24.69,31,839.496077,incomplete,0.0,index.html
61.76,74,846.00384,incomplete,0.0,review.html
96.94,56,854.163058,partial,0.7333333333333333,done
91.95,55,862.049482,partial,0.8666666666666667,done
96.65,85,869.832437,partial,0.9333333333333333,done
100.52,48,875.433692,partial,0.9333333333333333,done
105.24,76,883.524075,partial,0.9333333333333333,done
73.43,57,888.893401,incomplete,0.0,review.html
83.63,37,893.444124,partial,0.7333333333333333,done
66.69,31,896.93283,incomplete,0.0,experience.html
22.69,31,899.951827,incomplete,0.0,index.html
81.97,53,905.413327,partial,0.8666666666666667,done
105.22,78,912.426585,incomplete,0.0,review.html
107.88,62,919.028626,partial,0.9333333333333333,done
99.52,48,924.244294,partial,0.9333333333333333,done
95.76,74,931.322471,partial,0.9333333333333333,done
30.69,31,934.540859,incomplete,0.0,index.html
92.88,62,939.213851,incomplete,0.0,review.html
89.19,81,946.84168,partial,0.8666666666666667,done
89.56,44,951.760297,partial,0.7333333333333333,done
81.97,53,955.979435,incomplete,0.0,review.html
97.46,54,961.948286,partial,0.6666666666666666,done
72.9,60,967.44244,partial,0.8,done
46.23,77,973.314621,incomplete,0.0,questions.html
110.56,44,978.40917,partial,0.9333333333333333,done
74.91,59,984.043372,partial,0.8666666666666667,done
106.42,58,990.023852,partial,0.9333333333333333,done
92.76,74,997.182936,partial,0.8666666666666667,done
64.45,55,1001.60973,incomplete,0.0,review.html
80.81,69,1008.909132,partial,0.8666666666666667,done
26.69,31,1012.688854,incomplete,0.0,index.html
89.81,69,1019.354846,partial,0.9333333333333333,done
82.52,48,1024.442087,partial,0.7333333333333333,done
