train/policy_loss,train/entropy_loss,time/total_timesteps,train/learning_rate,train/value_loss,time/iterations,train/n_updates,train/explained_variance,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
0.06532566249370575,-1.3333923816680908,500,0.00025,0.003107693511992693,100,99,0.6652477,0,1194,,,,
0.014385541900992393,-1.3262869119644165,1000,0.00025,0.0001676215761108324,200,199,0.5979115,0,1172,963.0,348.1580505371094,,
0.0918736457824707,-1.325585126876831,1500,0.00025,0.005973389837890863,300,299,-4.1962047,1,1170,963.0,348.1580505371094,,
27.486255645751953,-1.3438022136688232,2000,0.00025,272.0378723144531,400,399,0.00993228,1,1150,631.6666666666666,345.4927673339844,,
-0.0031199182849377394,-1.309230923652649,2500,0.00025,0.00024998249136842787,500,499,0.7177912,2,1137,631.6666666666666,345.4927673339844,,
-0.2200382649898529,-1.2849855422973633,3000,0.00025,0.02310294285416603,600,599,-3162.8242,2,1133,631.6666666666666,345.4927673339844,,
-0.07844801992177963,-1.3677822351455688,3500,0.00025,0.005233475938439369,700,699,-9.997011,3,1136,809.5,522.59375,,
-0.015338833443820477,-1.3494257926940918,4000,0.00025,0.00018218826153315604,800,799,-12.6098995,3,1137,809.5,522.59375,,
0.0391571968793869,-1.2933542728424072,4500,0.00025,0.0013063238002359867,900,899,-2.9772028e+06,3,1132,809.5,522.59375,,
-0.4345420300960541,-1.3063936233520508,5000,0.00025,0.060047585517168045,1000,999,-0.46358275,4,1135,809.5,522.59375,,
-0.12775392830371857,-1.336796522140503,5500,0.00025,0.009761836379766464,1100,1099,-1.3899174,4,1131,1018.2,529.1246337890625,,
4.530037879943848,-1.3525439500808716,6000,0.00025,20.698917388916016,1200,1199,0.028733969,5,1132,959.0,493.2679443359375,,
-0.13419374823570251,-1.3377182483673096,6500,0.00025,0.012419185601174831,1300,1299,-0.25886106,5,1131,898.4285714285714,482.3360900878906,,
-0.12285846471786499,-1.3373959064483643,7000,0.00025,0.008778603747487068,1400,1399,-0.12833571,6,1126,835.0,463.0697021484375,,
-0.2037457972764969,-1.3670324087142944,7500,0.00025,0.02977639064192772,1500,1499,-26.091482,6,1125,741.7,435.6707458496094,,
-0.5011358857154846,-1.3597817420959473,8000,0.00025,0.18849965929985046,1600,1599,-61.118942,7,1127,741.7,435.6707458496094,,
0.19807696342468262,-1.348311424255371,8500,0.00025,0.27922576665878296,1700,1699,-49.833115,7,1121,742.0,513.0777587890625,,
-0.22467243671417236,-1.345209002494812,9000,0.00025,0.020206183195114136,1800,1799,-0.41864502,8,1123,731.0833333333334,491.1201171875,,
0.7135977745056152,-1.331443190574646,9500,0.00025,0.21069803833961487,1900,1899,0.49648577,8,1125,731.0833333333334,491.1201171875,,
-0.011576401069760323,-1.3454161882400513,10000,0.00025,0.0037355597596615553,2000,1999,-27.582985,8,1123,761.2307692307693,489.3598327636719,,
0.02276591584086418,-1.3232696056365967,10500,0.00025,0.009181002154946327,2100,2099,-0.93129253,9,1124,736.4285714285714,497.20916748046875,,
0.10859726369380951,-1.3272984027862549,11000,0.00025,0.009488385170698166,2200,2199,-0.38869166,9,1126,736.4285714285714,497.20916748046875,,
0.13472980260849,-1.3422489166259766,11500,0.00025,0.013109004124999046,2300,2299,-10.977386,10,1124,736.4285714285714,497.20916748046875,,
-0.13105139136314392,-1.317772388458252,12000,0.00025,0.07088644802570343,2400,2399,-150.90135,10,1124,789.6666666666666,523.9962158203125,,
0.12664368748664856,-1.3112592697143555,12500,0.00025,0.009724115021526814,2500,2499,0.6124336,11,1124,789.6666666666666,523.9962158203125,,
0.012690596282482147,-1.3330682516098022,13000,0.00025,0.00020836405747104436,2600,2599,0.8308525,11,1123,789.6666666666666,523.9962158203125,,
-0.045297980308532715,-1.3134582042694092,13500,0.00025,0.0021045682951807976,2700,2699,-2.2355573,11,1125,789.6666666666666,523.9962158203125,,
-0.0655759796500206,-1.3288328647613525,14000,0.00025,0.0030104543548077345,2800,2799,-0.095317006,12,1124,789.6666666666666,523.9962158203125,,
-0.06633798032999039,-1.3150100708007812,14500,0.00025,0.0032091985922306776,2900,2899,0.42173016,12,1121,789.6666666666666,523.9962158203125,,
10.773184776306152,-1.3124996423721313,15000,0.00025,108.11824798583984,3000,2999,0.07943243,13,1122,927.8125,538.9417724609375,,
-0.20406050980091095,-1.3348875045776367,15500,0.00025,0.0373627170920372,3100,3099,-8.871509,13,1123,927.8125,538.9417724609375,,
4.120049953460693,-1.3441277742385864,16000,0.00025,9.886173248291016,3200,3199,-17.713451,14,1123,934.2352941176471,569.3903198242188,,
-0.1666979342699051,-1.29692804813385,16500,0.00025,0.013305559754371643,3300,3299,-0.02117157,14,1123,934.2352941176471,569.3903198242188,,
-0.2668340802192688,-1.3259785175323486,17000,0.00025,0.030192935839295387,3400,3399,-1.2609961,15,1124,934.2352941176471,569.3903198242188,,
-0.08697190880775452,-1.3222166299819946,17500,0.00025,0.005521522369235754,3500,3499,0.37684005,15,1123,934.2352941176471,569.3903198242188,,
-0.001546979765407741,-1.3389540910720825,18000,0.00025,1.882043397927191e-05,3600,3599,-4.0662155,16,1123,934.2352941176471,569.3903198242188,,
0.023778673261404037,-1.3233911991119385,18500,0.00025,0.0005617196438834071,3700,3699,-8.159722,16,1124,934.2352941176471,569.3903198242188,,
0.3785311281681061,-1.3097442388534546,19000,0.00025,0.37203794717788696,3800,3799,0.16374213,16,1124,1049.0,590.0610961914062,,
