#{"t_start": 1761241569.9947386, "env_id": "None"}
r,l,t,page
-2.58,8,3.387916,questions.html--partial
-11.59,9,5.463092,questions.html--partial
-8.12,12,8.01399,questions.html--partial
13.82,18,10.4408,questions.html
-0.19,19,13.145225,questions.html
-5.09,9,14.582269,questions.html--partial
-16.6,10,16.832978,questions.html--partial
15.36,14,18.616499,questions.html
-5.59,9,20.396319,questions.html--partial
-17.6,10,22.770329,questions.html--partial
-11.6,10,24.991985,questions.html--partial
-15.63,13,27.417072,questions.html--partial
-2.56,6,28.863636,questions.html--partial
-2.57,7,30.506668,questions.html--partial
11.38,12,32.819788,questions.html
-10.1,10,34.903836,questions.html--partial
-0.1,10,36.852816,questions.html--partial
-4.52,2,37.99712,questions.html--partial
0.8,20,41.320965,questions.html
13.88,12,42.875727,questions.html
-3.61,11,44.220223,questions.html--partial
-8.09,9,45.499018,questions.html--partial
-4.52,2,46.34751,questions.html--partial
-14.1,10,48.473577,questions.html--partial
-2.1,10,50.214895,questions.html--partial
-3.52,2,51.240783,questions.html--partial
17.83,17,53.40315,questions.html
-4.61,11,55.335396,questions.html--partial
-3.03,3,56.633984,questions.html--partial
-2.53,3,57.57722,questions.html--partial
-3.54,4,59.22468,questions.html--partial
-8.06,6,61.00459,questions.html--partial
-3.04,4,62.618045,questions.html--partial
-1.57,7,64.560329,questions.html--partial
-3.08,8,66.023573,questions.html--partial
-4.55,5,67.399315,questions.html--partial
-5.57,7,68.731802,questions.html--partial
-0.8,30,71.709476,questions.html
-10.57,7,73.923768,questions.html--partial
12.32,18,76.388621,questions.html
13.34,16,78.573018,questions.html
-1.62,12,80.795287,questions.html--partial
-4.54,4,82.345417,questions.html--partial
18.4,10,84.235664,questions.html
-3.03,3,85.787742,questions.html--partial
-2.58,8,88.254,questions.html--partial
-5.07,7,89.792115,questions.html--partial
14.31,19,94.509656,questions.html
-9.06,6,96.836255,questions.html--partial
-1.04,4,98.684461,questions.html--partial
-6.62,12,100.602,questions.html--partial
-2.62,12,102.542888,questions.html--partial
-3.52,2,103.672689,questions.html--partial
-11.05,5,105.839493,questions.html--partial
-4.52,2,106.680519,questions.html--partial
-9.05,5,108.198248,questions.html--partial
-3.04,4,109.47056,questions.html--partial
7.83,17,112.220339,questions.html
-4.04,4,113.785919,questions.html--partial
-10.54,4,115.471095,questions.html--partial
-2.6,10,117.84729,questions.html--partial
-18.54,4,119.954732,questions.html--partial
10.12,38,123.006243,questions.html
-4.5,50,126.478095,questions.html
-8.55,5,128.19723,questions.html--partial
-10.53,3,129.465426,questions.html--partial
-2.53,3,130.615463,questions.html--partial
-1.05,5,131.755368,questions.html--partial
-2.41,41,134.671238,questions.html
-8.06,6,136.334576,questions.html--partial
-5.08,8,137.727287,questions.html--partial
20.87,13,139.83565,questions.html
-11.14,14,141.995913,questions.html--partial
14.33,17,143.845361,questions.html
-3.56,6,145.117918,questions.html--partial
-4.52,2,146.02031,questions.html--partial
-3.14,14,148.057319,questions.html--partial
-3.55,5,149.47097,questions.html--partial
-12.12,12,152.18377,questions.html--partial
-10.69,19,153.672569,questions.html--partial
5.82,18,155.865272,questions.html
17.9,10,157.418142,questions.html
-6.64,14,158.795532,questions.html--partial
2.57,43,161.835855,questions.html
-2.11,11,163.560828,questions.html--partial
-2.09,9,165.04438,questions.html--partial
-2.06,6,166.528698,questions.html--partial
-4.58,8,168.062123,questions.html--partial
-17.13,13,170.62388,questions.html--partial
9.36,14,173.103379,questions.html
-10.14,14,175.8616,questions.html--partial
17.34,16,178.512037,questions.html
-11.74,24,180.972527,questions.html--partial
-9.67,17,183.048698,questions.html--partial
9.82,18,184.829293,questions.html
-4.07,7,186.130829,questions.html--partial
