#{"t_start": 1761312357.6392467, "env_id": "None"}
r,l,t,result,match_ratio,page
455.4,60,903.440771,partial,0.9333333333333333,done
422.05,45,910.168352,partial,0.8,done
462.15,85,919.29325,partial,0.9333333333333333,done
259.03,47,923.418847,partial,0.7333333333333333,done
440.04,46,928.811553,partial,0.8,done
395.47,53,934.325987,partial,0.8,done
434.75,75,942.900646,partial,0.9333333333333333,done
415.36,64,949.711077,partial,0.8666666666666667,done
271.49,51,954.827614,partial,0.7333333333333333,done
255.97,53,959.282658,partial,0.7333333333333333,done
416.03,47,964.005181,partial,0.8,done
404.73,77,970.134132,partial,0.8666666666666667,done
412.88,62,978.861593,partial,0.9333333333333333,done
488.47,53,984.991968,partial,0.9333333333333333,done
276.8,70,991.266682,partial,0.7333333333333333,done
431.26,74,997.393457,partial,0.9333333333333333,done
449.22,78,1006.466816,partial,0.9333333333333333,done
421.59,41,1012.098725,partial,0.8,done
69.59,41,1016.549018,incomplete,0.0,index.html
423.51,49,1024.622751,partial,0.9333333333333333,done
421.52,48,1031.372688,partial,0.8,done
419.93,57,1037.367695,partial,0.8666666666666667,done
415.01,49,1043.965146,partial,0.8,done
399.57,43,1049.381128,partial,0.8,done
428.98,52,1056.668237,partial,0.9333333333333333,done
415.77,73,1064.924948,partial,0.8666666666666667,done
252.33,67,1070.510143,partial,0.7333333333333333,done
449.95,55,1076.411365,partial,0.9333333333333333,done
399.49,51,1080.635453,partial,0.8666666666666667,done
412.43,57,1086.086938,partial,0.8666666666666667,done
414.15,35,1090.823325,partial,0.8666666666666667,done
421.76,74,1099.421365,partial,0.8666666666666667,done
393.61,39,1104.292755,partial,0.8666666666666667,done
408.35,65,1110.901962,partial,0.8666666666666667,done
95.29,71,1115.842919,incomplete,0.0,questions.html
448.81,69,1124.939092,partial,0.9333333333333333,done
415.78,72,1132.499859,partial,0.9333333333333333,done
411.51,49,1137.699537,partial,0.8,done
70.77,73,1143.628311,incomplete,0.0,questions.html
397.64,36,1147.945504,partial,0.8,done
395.46,54,1154.049762,partial,0.8666666666666667,done
100.84,66,1159.416522,incomplete,0.0,review.html
257.41,59,1166.014576,partial,0.7333333333333333,done
140.08,42,1169.916682,partial,0.6666666666666666,done
440.52,48,1175.588786,partial,0.9333333333333333,done
400.43,57,1180.654416,partial,0.8666666666666667,done
111.68,82,1187.081404,incomplete,0.0,review.html
427.22,78,1193.83714,partial,0.9333333333333333,done
394.32,68,1201.146823,partial,0.8666666666666667,done
397.55,45,1206.645641,partial,0.8,done
405.28,72,1213.608685,partial,0.8666666666666667,done
410.59,41,1219.015373,partial,0.8,done
411.48,52,1226.032447,partial,0.8666666666666667,done
257.48,52,1230.729652,partial,0.7333333333333333,done
456.59,91,1239.095214,partial,0.9333333333333333,done
78.43,57,1242.453862,incomplete,0.0,review.html
468.4,60,1249.567152,partial,0.9333333333333333,done
458.88,62,1257.43251,partial,0.9333333333333333,done
406.12,38,1262.659653,partial,0.8,done
