#{"t_start": 1761179005.6886482, "env_id": "None"}
r,l,t
64.702736,1797,136.659733
273.92545,867,136.927147
-32.222862,2873,139.811223
140.6371,680,140.018646
115.25726,941,141.329633
280.1086,232,141.398966
-8.268998,224,141.466134
-8.156997,642,141.657147
-1.9170094,68,141.677288
-6.608999,222,141.743919
-6.2269993,169,141.794761
95.047966,156,141.843352
77.33841,1536,143.314408
174.68869,3000,146.277187
76.195045,3000,148.205455
808.2882,1320,149.632936
199.57837,3000,155.721869
2967.7961,1822,157.268565
2118.9333,1720,158.768401
311.42874,3000,160.684859
995.3951,714,161.900927
1196.8389,992,162.204493
505.86713,1248,163.582386
1842.9144,1360,163.99973
2226.2722,1504,165.534287
702.0127,1141,166.917927
781.0127,372,167.034927
661.2656,1543,168.55339
2071.558,1778,170.186257
4091.7078,2960,172.203818
2264.9985,1138,173.592107
942.50977,1203,173.982351
766.4778,839,175.288495
2362.409,2735,181.820487
128.03777,3000,183.795715
360.82162,1303,185.227019
-8.818999,333,185.351087
1421.5009,3000,188.357199
1286.8563,2829,190.295675
754.7751,1904,191.954954
906.69006,2066,193.6259
776.6467,3000,195.625157
551.75995,431,196.794695
801.03033,427,196.93294
651.0064,445,197.07438
489.31467,326,197.176932
1692.14,829,198.450921
595.5895,451,198.596684
520.5421,564,198.774309
1707.5135,3000,207.09637
381.59592,220,207.169117
347.97644,1963,208.834022
758.0618,648,209.044508
745.05365,416,209.180048
1169.1472,2110,210.879478
1429.5496,1397,212.330565
2684.5452,3000,214.34573
747.16205,3000,217.357325
85.7081,685,217.588411
4405.0986,3000,220.582453
563.1691,1123,220.948227
1997.0344,1388,222.41852
1944.3127,1262,222.843919
2378.0742,3000,225.870892
73.37727,955,229.585284
1562.2856,2251,231.347658
3243.529,1960,233.027221
1508.9584,1134,234.407121
436.31372,377,234.539244
951.31586,527,234.718462
1600.3549,3000,237.777888
546.30725,773,238.042311
561.8564,3000,241.060508
1305.8492,1376,241.503576
322.0791,3000,244.549479
2701.4978,1942,246.199357
2374.5908,1513,247.697383
531.3183,787,247.956458
84.458694,3000,249.964063
918.4277,880,255.271991
859.3785,638,255.464939
1952.3457,3000,258.359565
1632.1078,930,258.644176
341.39374,229,258.71613
806.81244,471,258.857637
210.14934,1197,260.211561
848.1573,1013,260.512894
1615.3682,3000,263.394838
-26.762701,3000,265.310296
367.18582,3000,268.218274
228.40825,243,268.288424
777.71545,3000,270.204586
-26.709751,3000,273.120167
1441.8846,2308,277.772072
1713.3809,878,278.040317
1568.9496,2935,280.974013
3922.3723,3000,282.866901
913.53467,1671,284.349088
336.86362,392,284.470196
2863.5413,1730,285.977811
144.0312,466,286.116673
293.40866,3000,289.017147
707.87054,960,289.343888
1873.58,1023,290.612639
2065.797,2202,292.239068
399.60025,1221,293.5717
328.24878,396,293.693877
68.187996,215,293.757143
1662.1891,3000,295.666926
1443.4452,3000,301.520273
141.08414,261,301.600007
2693.356,3000,303.490783
140.37625,687,304.67711
4557.6997,3000,306.713199
1158.4763,806,307.92564
1945.8585,1140,308.289418
727.4317,907,309.526093
1308.8556,2951,311.448862
3488.6296,3000,313.331405
1432.891,821,314.593594
653.2712,440,314.741698
901.81586,627,314.938198
621.15436,420,316.034228
41.048,3000,317.957106
484.49518,342,318.062878
1022.2089,565,319.250619
5439.45,3000,324.276362
2791.3567,1594,325.791873
1020.8429,841,326.048903
1849.7166,3000,328.952812
753.4372,396,329.074452
747.24084,648,329.273362
2458.153,1395,330.743041
518.8838,577,330.91423
2022.7528,2214,332.573524
1498.0171,1215,333.937397
263.33765,484,334.082905
2644.9814,1246,335.476376
769.04175,309,335.569356
1047.111,836,335.819572
973.7127,377,335.932889
3004.7615,2314,337.632554
1687.8099,840,338.901056
2989.7524,2033,340.523049
918.689,1636,341.996059
689.2702,531,342.156991
1167.6218,610,342.33524
810.1313,1153,348.714443
568.6843,299,348.805285
2842.9006,3000,350.734137
848.34155,535,351.909509
138.37599,507,352.060555
1147.1896,1413,353.49134
-8.783999,121,353.5271
941.095,818,353.778888
917.14777,375,353.899585
646.5791,320,353.998868
970.773,437,355.102879
1556.0189,3000,357.036399
744.9103,322,357.133091
719.3145,1084,358.472916
1302.2319,601,358.654654
224.204,856,359.923883
901.71857,667,360.12398
981.1643,717,360.335497
1679.8114,936,361.653143
628.58356,533,361.816305
1176.3705,1020,362.130756
472.74515,3000,365.039626
338.87003,394,365.176471
-34.06668,3000,368.116623
1924.0363,747,371.16328
1115.9838,1766,372.680655
916.3846,1920,374.244217
697.8986,741,374.46934
1803.872,1710,375.998535
1072.7832,3000,377.916637
456.18164,2800,380.791124
986.0442,1320,381.209005
789.83984,3000,384.110135
2980.9292,2535,385.886966
-38.658985,3000,388.773926
339.2187,2292,390.479214
865.83105,689,392.94023
1842.9039,2099,394.567263
312.5939,914,394.84659
1227.9564,1969,396.417144
1498.5452,2124,398.072106
1968.5061,3000,400.940237
1598.9657,1510,402.445597
469.2907,310,402.537333
893.2625,624,402.722205
2328.3271,1370,404.167232
1712.4208,1138,404.50345
2696.876,1936,406.166735
981.5235,3000,409.23162
100.75712,1625,410.795537
909.69824,1354,411.235157
527.71136,524,411.407894
866.89685,790,412.71116
901.56085,1246,415.937209
1449.2811,742,417.249135
1972.7662,2894,419.235428
1019.01666,672,420.487582
-26.786938,1919,421.107296
684.5967,319,422.278008
743.2145,475,422.433553
1231.1279,3000,424.443395
2115.9038,2777,427.459263
1107.3909,606,427.656891
1345.3413,1550,429.20889
639.073,1666,430.791332
865.56696,1058,431.146053
1362.1958,2587,433.037602
-8.443,121,433.077625
253.8142,1781,434.676914
1164.9109,777,435.953258
564.28107,1517,440.754855
1909.1692,901,442.096597
427.1028,443,442.241832
3430.7268,2184,444.010598
1196.2284,912,445.32528
651.02405,268,445.411805
155.24118,198,445.474916
2404.4514,1386,445.929548
1727.2362,3000,448.943949
988.5515,3000,450.942764
-28.681772,3000,453.959998
2932.6028,2367,455.740011
740.48145,417,455.873269
1400.2273,828,457.161792
433.15277,324,457.269604
1928.3639,1567,458.821266
875.85974,904,459.111229
64.90534,904,459.410491
1635.1416,3000,466.867771
667.0631,627,467.06304
3610.1216,2660,468.904381
1847.5505,2813,471.737083
538.2523,302,471.827676
661.67224,3000,473.751079
596.8171,1047,475.093897
810.26715,3000,476.993608
3650.1338,3000,479.871779
1495.6008,3000,481.75765
-8.991349,2070,483.390839
1304.0049,1343,484.818841
