#{"t_start": 1761179005.6886482, "env_id": "None"}
r,l,t
-10.970001,438,1.113271
-12.174051,695,1.34882
549.3295,1348,2.836269
225.39433,1187,3.23701
610.5402,1704,4.916646
450.0384,1365,6.564932
721.5221,994,6.900959
384.21228,2077,8.675229
288.501,556,9.97905
460.546,912,10.286642
-9.325997,490,10.440973
144.02011,253,10.521228
737.4828,528,11.821017
1.2079949,487,11.985576
90.105064,3000,14.04576
448.96597,1715,15.696882
27.219587,589,15.886133
457.48672,2567,18.904096
286.77188,657,19.128431
497.20685,891,19.42563
-3.994025,224,20.563847
1035.0602,3000,29.354966
2107.7275,1756,31.046649
266.1953,2406,32.856938
175.62526,782,33.09107
482.82205,958,34.441129
945.22345,3000,36.41547
1492.855,3000,39.462787
396.83292,699,39.67833
694.6324,1303,41.121808
1471.3558,2448,42.96083
2956.9602,3000,44.901393
1269.5789,3000,47.855155
948.1172,2011,54.629946
716.37933,1627,56.189469
374.25174,439,56.332301
77.06109,426,56.461586
282.74786,231,56.530184
387.5464,3000,59.562696
-11.953005,436,59.702473
-4.245019,172,59.75774
-11.276001,431,59.894569
477.4789,316,59.990153
139.48405,304,61.081327
297.79044,3000,63.140017
458.6039,3000,65.088216
1205.7212,3000,68.07129
740.85767,1365,69.518994
1198.734,2175,71.206589
432.2477,377,71.331063
2308.9822,3000,73.29283
896.894,745,74.55403
853.79517,2253,81.947606
159.18527,3000,83.970773
2703.074,2097,85.712752
1933.2703,1115,87.168534
453.9949,3000,89.247972
629.136,352,89.358126
511.88538,3000,92.249852
3581.9783,3000,94.185203
1668.8267,1948,95.7899
927.7206,904,97.064006
501.0454,3000,99.007166
654.09247,961,100.265795
1534.7544,3000,106.911954
772.3602,378,107.029137
519.62415,347,108.109003
140.38777,3000,110.037645
1874.2722,3000,111.939963
1353.2883,1701,113.450748
914.8774,410,113.573059
297.57077,235,114.681771
576.51605,636,114.873493
1171.6884,551,115.055189
-30.142672,3000,117.927661
1778.9364,1262,118.309388
847.67444,544,119.512108
71.60284,3000,121.425729
306.48743,3000,123.329879
458.45453,738,124.561148
994.7852,626,124.751991
674.3372,3000,133.155645
143.06717,3000,135.106911
