#{"t_start": 1761180608.7177439, "env_id": "None"}
r,l,t
348.15805,963,1.671088
635.9365,619,2.212315
52.383694,313,2.493718
1053.8966,1343,3.705299
555.24817,1853,5.342996
313.98465,663,5.934032
416.74484,535,6.40952
328.20486,391,6.764339
111.40698,368,7.112463
540.7429,369,7.439012
1287.148,745,8.092676
249.5859,611,8.66477
468.2361,1123,9.657548
599.25037,414,10.017172
899.0147,1535,11.379721
763.1266,3000,14.079902
1056.5673,1037,14.987562
941.46375,3000,17.643756
228.81126,352,17.949717
484.9201,1181,18.996273
496.76117,438,19.390138
998.51917,517,19.852753
-6.2939987,174,20.014167
617.4556,1247,21.111267
293.9822,2607,23.980108
189.7042,311,24.260549
89.265114,1003,25.205146
570.08704,369,25.537322
300.07434,2358,27.688604
869.3345,2288,29.711732
1002.21265,3000,32.416193
-5.3209925,1393,33.587893
196.04169,991,34.437022
391.18588,598,34.944039
250.42358,1678,36.432947
221.87854,557,36.92841
1437.0299,3000,39.631317
547.9758,494,40.047536
230.85019,3000,42.737078
427.14694,2666,45.131113
957.53766,1312,46.650556
994.62213,3000,49.312353
589.1583,3000,51.955459
498.8015,591,52.508135
196.06943,835,53.247148
1371.5294,3000,55.903479
2066.316,3000,58.595281
1027.4972,3000,61.286348
281.5238,3000,63.946423
877.1845,3000,66.61547
744.3767,516,67.057037
244.47429,402,67.407846
568.43134,1217,68.472126
344.4161,3000,76.065369
460.1447,531,76.539085
318.2558,816,77.273329
39.96021,3000,79.996691
899.9429,3000,82.661113
334.60373,549,83.143394
629.29333,482,83.576782
640.28613,3000,86.246583
553.15656,985,87.108205
395.14758,2458,89.2604
14.588909,2698,91.619292
531.4226,1157,92.644433
534.7617,3000,95.313076
272.9855,285,95.579822
120.314995,311,96.907496
276.79297,1750,98.435691
1551.0674,3000,101.131276
1738.5466,3000,103.703523
439.50986,3000,106.356514
838.2722,1103,107.340909
585.599,940,108.164168
365.35934,1826,109.793011
-4.119995,861,110.55767
630.7636,1946,112.30607
128.54123,519,112.756673
67.30156,3000,115.486485
580.72455,1103,116.436789
1020.4125,3000,122.476676
563.2673,1168,123.472488
955.0068,2652,125.850553
425.36304,439,126.244825
305.2181,2611,128.579085
750.7333,3000,131.253795
22.276066,963,132.11053
152.63437,517,132.575695
534.7859,687,133.187802
-5.558996,492,133.666842
456.6338,1005,134.553252
686.6932,375,134.899778
229.42033,512,135.353244
409.2887,493,135.786368
812.6179,3000,138.472401
254.41792,1550,139.84874
87.874374,2213,141.81193
1069.5957,1960,143.570004
455.55273,3000,149.76645
291.28485,398,150.149723
424.48486,599,150.686841
811.3322,1767,152.312021
1540.5343,2816,154.814885
-7.042995,967,155.717415
132.74982,1263,156.829424
800.38983,2551,159.139662
351.18716,1542,160.542916
350.1272,1347,161.775253
975.4818,3000,164.513785
570.2413,1911,166.443594
1765.3789,1695,167.967133
989.87415,3000,170.68626
679.9648,1386,176.7464
103.17027,1317,177.807946
980.59546,1019,178.684029
2607.115,3000,181.254303
100.608376,2271,183.174009
692.72943,2313,185.203966
117.41485,3000,187.859159
870.40454,3000,190.538466
714.4446,763,191.195322
2586.3054,3000,193.801321
1148.9543,1230,194.874167
309.38617,3000,202.193908
215.81136,3000,204.693862
2901.545,1731,206.214433
534.43115,3000,208.867414
1395.589,1809,210.450675
388.93527,3000,213.030511
907.05804,3000,215.615829
1592.6813,1975,217.324095
637.39886,408,217.69241
1515.5642,3000,220.267134
679.24506,3000,222.837607
1061.1677,2131,230.392246
802.6361,2049,232.086615
1070.3297,1343,233.183445
543.8243,678,233.765119
351.2251,3000,236.288759
357.5623,1441,237.521708
554.0642,669,238.093454
1193.3633,3000,240.959355
535.7258,3000,243.868915
-6.8949976,916,244.782909
679.2808,3000,247.575834
200.27501,2046,249.478613
664.79474,1354,250.851516
