#{"t_start": 1761180608.7177439, "env_id": "None"}
r,l,t
1190.5684,1226,252.008205
1724.1962,2638,258.230025
195.24345,1309,259.453093
322.68604,552,259.968602
206.6683,460,260.424359
530.6463,573,260.960375
1327.2109,3000,263.810778
3.4800143,3000,266.589496
319.81805,3000,269.559038
71.635025,265,269.799235
-5.4569974,333,270.084511
727.4434,2896,272.770197
957.4782,1714,274.301063
1154.4255,3000,277.1021
388.97272,1856,278.825068
339.2516,2124,284.511579
1018.1523,3000,287.228269
70.81919,951,288.19951
29.188738,3000,290.98569
1851.0408,741,291.668481
532.22424,319,292.019944
0.6059861,649,292.621144
-1.8020248,1340,293.948398
611.7685,459,294.377472
389.34006,3000,297.205845
803.21704,1657,298.689734
114.66019,998,299.726263
1754.4524,2836,302.486206
169.00813,307,302.769578
273.48575,3000,305.643303
110.57732,929,306.688927
1613.4064,1474,314.043419
49.140125,851,314.760838
664.7055,2972,317.34948
835.0482,3000,319.898416
121.05207,464,320.324151
1702.9226,937,321.111647
1291.7517,2749,323.523708
216.98615,461,323.915335
1211.0051,1703,325.366191
853.7355,2260,327.324631
1212.7751,2148,329.151366
542.6246,3000,331.735738
1540.7294,3000,334.328537
626.1779,2045,341.852304
369.78662,3000,344.402208
1100.6984,3000,347.003204
720.7334,625,347.549829
853.70087,3000,350.12403
258.9836,1351,351.274193
665.5815,1757,352.763243
1014.2523,2067,354.528549
403.7117,322,354.799515
476.16788,1376,355.992708
1966.0531,3000,358.590729
167.38043,735,359.250792
324.18402,1030,360.144613
480.36343,2740,364.235854
382.23526,2183,366.092221
269.64957,348,366.398548
2389.9578,3000,369.081605
1597.2279,1224,370.185783
384.40268,3000,372.878288
731.2154,642,373.45382
584.19635,839,374.194028
180.65361,3000,376.951209
838.2492,737,377.62233
96.83479,3000,380.316285
1072.1442,1803,381.952608
214.32384,2999,384.656965
1469.7114,1615,388.884511
403.4974,3000,391.601678
684.935,3000,394.367233
163.77156,1213,395.487509
262.15466,3000,398.261091
1398.3813,1758,399.85231
187.80147,786,400.585862
847.88306,1861,402.298962
83.09968,3000,405.016219
-0.42901325,170,405.173075
63.83779,3000,407.922244
517.09064,2913,410.564952
206.9685,1306,418.600477
-4.791998,598,419.116311
1000.21783,3000,421.757107
1.4400058,756,422.44646
1583.7836,3000,425.192102
1304.1558,3000,427.951429
661.91113,346,428.278552
742.24005,2370,430.445551
1092.2566,1345,431.685649
167.29617,196,431.861096
490.15677,892,432.712918
148.26112,2785,435.256237
1673.1918,3000,438.013859
94.39759,2012,439.820624
1190.8596,3000,443.487738
540.59235,1573,444.925647
505.0254,2209,446.971966
782.1933,2944,449.779016
44.739708,320,450.07861
309.2666,3000,452.830364
1129.6089,1551,454.225042
845.20374,3000,456.906373
311.89908,930,457.75092
579.4337,1670,459.245692
213.27461,1260,460.380702
238.50656,993,461.282207
218.53552,3000,463.981879
569.01154,2404,467.41218
113.90804,529,467.929904
-2.2700543,2238,469.94174
62.663197,1277,471.084511
204.65633,519,471.552372
871.2181,1902,473.278141
1026.7655,1037,474.224363
-5.8859987,173,474.382535
794.3691,3000,477.071551
1721.6302,2638,479.447199
234.6255,2415,481.648348
1110.5951,3000,484.393775
-6.930993,1816,486.043368
723.1486,3000,488.797112
1827.1257,3000,492.011982
833.00775,902,492.844009
33.448593,430,493.24955
860.25433,3000,495.999707
560.3605,768,496.723866
518.2476,1011,497.645498
160.68718,3000,500.380165
-5.287995,807,501.140612
1101.8229,3000,503.85837
239.27435,722,504.506321
223.19435,401,504.871363
274.7765,711,505.507561
182.5766,3000,508.239182
837.8454,993,509.124734
8.661028,166,509.269957
356.93915,3000,511.970095
