time/iterations,time/time_elapsed,train/entropy_loss,train/explained_variance,train/n_updates,time/fps,train/policy_loss,time/total_timesteps,train/value_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
1800,8,-1.326873779296875,0.44723314,1799,1122,-0.0585625059902668,9000,0.002659504534676671,0.00025,1206.2857142857142,547.9351196289062,,
1900,8,-1.3256196975708008,-0.48830068,1899,1121,0.015522390604019165,9500,0.0013678900431841612,0.00025,1206.2857142857142,547.9351196289062,,
2000,8,-1.3223603963851929,-545.0064,1999,1122,0.06253183633089066,10000,0.003706804709509015,0.00025,1206.2857142857142,547.9351196289062,,
2100,9,-1.3343112468719482,-0.49315774,2099,1122,-9.619407501304522e-05,10500,0.0002699712640605867,0.00025,1291.0,555.331298828125,,
2200,9,-1.3360214233398438,-17.533709,2199,1118,0.0009588796528987586,11000,0.0008832458406686783,0.00025,1291.0,555.331298828125,,
2300,10,-1.3262908458709717,-0.16247344,2299,1120,-0.056071002036333084,11500,0.0032740861643105745,0.00025,1291.0,555.331298828125,,
2400,10,-1.3417953252792358,0.02391386,2399,1121,4.406553745269775,12000,21.491418838500977,0.00025,1291.0,555.331298828125,,
2500,11,-1.3347618579864502,-0.46486402,2499,1120,-9.858260154724121,12500,61.554420471191406,0.00025,1388.3333333333333,697.585693359375,,
2600,11,-1.3340047597885132,0.54219306,2599,1121,-0.09949953854084015,13000,0.005335062276571989,0.00025,1388.3333333333333,697.585693359375,,
2700,12,-1.3240387439727783,-5.1937895,2699,1122,-0.06019819900393486,13500,0.007597154937684536,0.00025,1388.3333333333333,697.585693359375,,
2800,12,-1.313690185546875,-96.665054,2799,1121,0.08150234073400497,14000,0.006291514728218317,0.00025,1388.3333333333333,697.585693359375,,
2900,12,-1.2923786640167236,0.019124448,2899,1122,25.131404876708984,14500,378.44586181640625,0.00025,1388.3333333333333,697.585693359375,,
3000,13,-1.3293079137802124,0.78941983,2999,1122,0.02039032243192196,15000,0.0004344001936260611,0.00025,1388.3333333333333,697.585693359375,,
3100,13,-1.3227436542510986,-27.895935,3099,1120,-0.15078496932983398,15500,0.01112156268209219,0.00025,1549.5,668.3528442382812,,
3200,14,-1.313751459121704,-0.1499275,3199,1121,0.011748988181352615,16000,0.00202636094763875,0.00025,1549.5,668.3528442382812,,
3300,14,-1.2981691360473633,-543.37396,3299,1122,0.042993903160095215,16500,0.0014727653469890356,0.00025,1549.5,668.3528442382812,,
3400,15,-1.3032323122024536,0.3604381,3399,1122,-0.009231219999492168,17000,0.0015765114221721888,0.00025,1541.2727272727273,628.2227783203125,,
3500,15,-1.3348615169525146,-13.552146,3499,1123,-0.1442687213420868,17500,0.018021704629063606,0.00025,1541.2727272727273,628.2227783203125,,
3600,16,-1.3303582668304443,0.39719194,3599,1123,-0.042452432215213776,18000,0.001645846525207162,0.00025,1469.25,656.323486328125,,
3700,16,-1.3064664602279663,-3.6003575,3699,1122,0.03390420228242874,18500,0.0026041208766400814,0.00025,1469.25,656.323486328125,,
3800,16,-1.3332726955413818,0.07839519,3799,1122,-0.21383795142173767,19000,0.023946445435285568,0.00025,1469.25,656.323486328125,,
3900,17,-1.3355821371078491,-1.6897388,3899,1120,0.7955186367034912,19500,0.8053746223449707,0.00025,1469.25,656.323486328125,,
4000,17,-1.3120354413986206,0.3374923,3999,1120,0.014552576467394829,20000,0.00035518556251190603,0.00025,1517.076923076923,667.5416259765625,,
4100,18,-1.3559411764144897,-1.6941793,4099,1120,-0.3550471365451813,20500,0.07241985201835632,0.00025,1441.642857142857,668.5687255859375,,
4200,18,-1.3349567651748657,-28.10539,4199,1121,-0.5390699505805969,21000,0.15610596537590027,0.00025,1441.642857142857,668.5687255859375,,
4300,19,-1.3135340213775635,-18.24254,4299,1121,0.023494156077504158,21500,0.0006577308522537351,0.00025,1441.642857142857,668.5687255859375,,
4400,19,-1.2830984592437744,-6.2966413,4399,1122,0.05587967485189438,22000,0.0027366536669433117,0.00025,1452.2,644.2642211914062,,
4500,20,-1.3021396398544312,0.24652177,4499,1122,0.7463046908378601,22500,0.4817359447479248,0.00025,1405.5,620.5419921875,,
4600,20,-1.3022934198379517,0.61568564,4599,1122,-0.005028088577091694,23000,0.0014230518136173487,0.00025,1405.5,620.5419921875,,
