#{"t_start": 1761255875.1473906, "env_id": "None"}
r,l,t,page
39.7,13,1.791138,----------review.html
46.9,21,2.545822,----------review.html
41.4,16,3.172831,----------review.html
38.7,13,3.757783,----------review.html
39.0,10,4.240324,----------review.html
40.2,18,5.049978,----------review.html
43.1,19,5.858719,----------review.html
37.1,9,6.432228,----------review.html
41.6,14,6.996241,----------review.html
42.4,16,7.647034,----------review.html
47.2,28,8.620271,----------review.html
39.9,11,9.112952,----------review.html
46.8,22,9.856912,----------review.html
42.0,20,10.664382,----------review.html
43.4,16,11.286427,----------review.html
41.6,14,12.031338,----------review.html
37.2,8,12.436184,----------review.html
45.2,18,13.116587,----------review.html
53.2,28,13.963588,----------review.html
46.1,19,14.632683,----------review.html
37.9,11,15.16346,----------review.html
38.8,12,15.770458,----------review.html
45.3,17,16.385854,----------review.html
37.1,9,16.889935,----------review.html
41.3,17,17.580976,----------review.html
44.3,17,18.226447,----------review.html
48.6,24,19.090472,----------review.html
38.4,16,19.798065,----------review.html
45.1,19,20.526379,----------review.html
51.2,28,21.547574,----------review.html
37.2,8,22.044039,----------review.html
39.8,12,22.756993,----------review.html
68.6,44,23.907108,----------review.html
46.8,22,24.675425,----------review.html
51.0,30,25.843397,----------review.html
38.9,11,26.38942,----------review.html
37.7,13,27.032037,----------review.html
40.6,14,27.659747,----------review.html
47.0,20,28.400433,----------review.html
38.9,11,28.940507,----------review.html
45.2,18,29.608517,----------review.html
56.0,30,30.554231,----------review.html
53.5,35,31.945557,----------review.html
63.9,41,33.191546,----------review.html
37.0,10,33.773215,----------review.html
37.1,9,34.253426,----------review.html
60.2,38,35.358542,----------review.html
42.9,21,36.209559,----------review.html
36.8,12,36.839212,----------review.html
43.3,17,37.555498,----------review.html
47.9,21,38.322429,----------review.html
41.6,14,38.885187,----------review.html
45.3,17,39.48834,----------review.html
45.2,18,40.128406,----------review.html
40.7,13,40.735868,----------review.html
37.9,11,41.271419,----------review.html
44.9,21,42.227708,----------review.html
37.9,51,43.662988,questions.html
42.2,18,44.355336,----------review.html
41.3,17,45.030146,----------review.html
41.6,14,45.616636,----------review.html
43.3,17,46.269639,----------review.html
49.4,26,47.231543,----------review.html
41.3,17,47.967061,----------review.html
54.2,28,48.831674,----------review.html
38.1,9,49.277564,----------review.html
52.3,37,50.487,----------review.html
54.3,27,51.421855,----------review.html
61.3,37,52.565562,----------review.html
44.9,21,53.385014,----------review.html
41.6,14,53.995737,----------review.html
42.4,16,54.639272,----------review.html
48.7,23,55.404784,----------review.html
43.9,21,56.207803,----------review.html
41.5,15,56.833914,----------review.html
46.8,22,57.637656,----------review.html
36.3,7,58.06088,----------review.html
52.1,29,59.018155,----------review.html
36.0,10,59.544442,----------review.html
43.3,17,60.237646,----------review.html
48.9,21,61.078261,----------review.html
43.2,18,61.761858,----------review.html
38.7,13,62.398233,----------review.html
40.7,13,63.012549,----------review.html
44.9,21,63.821443,----------review.html
44.1,19,64.543989,----------review.html
36.3,7,64.967328,----------review.html
41.2,18,65.717401,----------review.html
43.2,18,66.422106,----------review.html
43.0,20,67.180822,----------review.html
48.8,22,67.987456,----------review.html
50.9,31,69.105048,----------review.html
43.2,18,69.837533,----------review.html
50.5,25,70.693349,----------review.html
49.5,25,71.664807,----------review.html
46.9,21,72.398253,----------review.html
36.3,7,72.826983,----------review.html
40.4,16,73.5409,----------review.html
52.6,34,74.682607,----------review.html
41.6,14,75.272697,----------review.html
37.9,11,75.787175,----------review.html
38.8,12,76.354922,----------review.html
53.4,26,77.121631,----------review.html
37.1,9,77.608732,----------review.html
40.0,20,78.52315,----------review.html
41.6,14,79.143774,----------review.html
41.4,16,79.808977,----------review.html
46.6,24,80.668352,----------review.html
38.7,13,81.403488,----------review.html
44.3,17,82.008214,----------review.html
52.7,33,83.089455,----------review.html
54.6,34,84.21779,----------review.html
51.2,28,85.210239,----------review.html
46.8,22,86.020911,----------review.html
47.6,24,86.850509,----------review.html
38.1,9,87.322449,----------review.html
54.9,31,88.314579,----------review.html
48.6,24,89.148224,----------review.html
51.4,26,90.025341,----------review.html
41.5,15,90.788476,----------review.html
50.2,28,91.737693,----------review.html
59.5,35,92.825471,----------review.html
47.7,23,93.68283,----------review.html
42.5,15,94.279755,----------review.html
46.0,20,95.020211,----------review.html
49.7,23,95.841659,----------review.html
37.9,11,96.374235,----------review.html
38.8,12,96.926967,----------review.html
47.1,19,97.591615,----------review.html
55.8,32,98.606214,----------review.html
47.1,19,99.255954,----------review.html
46.8,22,100.212698,----------review.html
36.3,7,100.699857,----------review.html
46.0,20,101.488729,----------review.html
52.1,29,102.469686,----------review.html
45.4,26,103.418577,----------review.html
53.3,27,104.311903,----------review.html
41.6,14,104.895501,----------review.html
49.4,26,105.795805,----------review.html
48.7,23,106.561768,----------review.html
44.4,16,107.155424,----------review.html
39.8,12,107.687476,----------review.html
45.9,21,108.454592,----------review.html
46.9,21,109.370439,----------review.html
