#{"t_start": 1761255875.1473906, "env_id": "None"}
r,l,t,page
56.1,39,110.636769,----------review.html
73.0,50,111.941547,----------review.html
55.8,32,112.914297,----------review.html
57.6,34,113.967582,----------review.html
39.9,11,114.50414,----------review.html
65.4,46,115.89671,----------review.html
45.3,17,116.556293,----------review.html
56.1,29,117.628659,----------review.html
45.9,21,118.407444,----------review.html
53.4,26,119.201219,----------review.html
44.9,51,120.521245,questions.html
50.5,25,121.368652,----------review.html
65.9,41,122.51054,----------review.html
59.2,38,123.675,----------review.html
47.8,22,124.545464,----------review.html
35.4,6,124.94595,----------review.html
40.7,13,125.531483,----------review.html
39.8,12,126.384537,----------review.html
49.7,23,127.244742,----------review.html
46.1,19,127.972784,----------review.html
66.4,46,129.424486,----------review.html
61.1,39,130.6934,----------review.html
45.2,18,131.4042,----------review.html
38.0,10,131.935051,----------review.html
48.8,22,132.740701,----------review.html
47.6,24,133.652101,----------review.html
54.1,29,134.564201,----------review.html
39.9,11,135.092199,----------review.html
40.8,12,135.63765,----------review.html
59.5,35,136.886463,----------review.html
39.9,51,138.293844,questions.html
54.2,28,139.233273,----------review.html
43.5,15,139.812416,----------review.html
52.2,28,140.79209,----------review.html
40.8,12,141.305493,----------review.html
36.2,8,141.76966,----------review.html
43.3,17,142.4158,----------review.html
63.3,37,143.417806,----------review.html
45.3,17,144.03798,----------review.html
42.5,15,144.782766,----------review.html
45.9,21,145.609776,----------review.html
36.2,8,146.06833,----------review.html
42.5,15,146.684234,----------review.html
42.5,15,147.269537,----------review.html
50.6,24,148.087546,----------review.html
40.6,14,148.713909,----------review.html
42.4,16,149.396429,----------review.html
48.9,21,150.123982,----------review.html
47.9,21,150.90296,----------review.html
38.0,10,151.416686,----------review.html
55.2,28,152.251238,----------review.html
47.1,19,152.915538,----------review.html
44.0,20,153.701876,----------review.html
53.3,27,154.701343,----------review.html
39.8,12,155.258102,----------review.html
48.0,20,156.028455,----------review.html
43.5,15,156.630008,----------review.html
39.9,11,157.141183,----------review.html
53.9,31,158.103614,----------review.html
58.6,34,159.102323,----------review.html
48.7,23,159.876997,----------review.html
38.8,12,160.452704,----------review.html
42.3,17,161.174862,----------review.html
42.4,16,161.885675,----------review.html
48.7,23,162.705432,----------review.html
43.5,15,163.272377,----------review.html
47.9,21,164.127447,----------review.html
66.9,41,165.316923,----------review.html
46.2,18,166.027327,----------review.html
48.8,22,166.795443,----------review.html
42.6,14,167.352875,----------review.html
49.6,24,168.154025,----------review.html
38.0,10,168.652204,----------review.html
41.5,15,169.271043,----------review.html
63.2,38,170.343058,----------review.html
46.9,21,171.14559,----------review.html
46.2,18,171.852616,----------review.html
53.3,27,172.703735,----------review.html
51.6,24,173.61729,----------review.html
46.1,19,174.300449,----------review.html
70.3,47,175.549523,----------review.html
62.2,38,176.67551,----------review.html
37.1,9,177.151727,----------review.html
72.2,48,178.606168,----------review.html
35.2,8,179.097109,----------review.html
53.2,28,180.127047,----------review.html
43.4,16,180.8671,----------review.html
55.0,30,182.043005,----------review.html
46.1,19,182.733201,----------review.html
48.9,21,183.559009,----------review.html
39.0,10,184.093951,----------review.html
57.0,30,185.220823,----------review.html
50.5,25,186.440087,----------review.html
41.5,15,187.476379,----------review.html
37.2,8,188.074533,----------review.html
70.4,46,189.629153,----------review.html
46.2,18,190.371801,----------review.html
46.2,18,191.072147,----------review.html
43.9,51,192.558618,questions.html
42.9,51,193.889359,questions.html
49.7,23,194.646863,----------review.html
41.9,51,196.028984,questions.html
51.6,24,197.075301,----------review.html
53.2,28,198.102175,----------review.html
45.9,51,199.521901,questions.html
44.9,51,200.907914,questions.html
65.1,39,201.959784,----------review.html
45.2,18,202.619237,----------review.html
42.9,51,203.953275,questions.html
47.9,21,204.668528,----------review.html
42.9,51,206.006565,questions.html
40.7,13,206.581509,----------review.html
56.1,29,207.41662,----------review.html
44.4,16,208.140107,----------review.html
39.7,13,208.717209,----------review.html
49.5,25,209.618265,----------review.html
46.9,21,210.353559,----------review.html
50.5,25,211.166017,----------review.html
37.1,9,211.66109,----------review.html
68.4,46,213.008586,----------review.html
49.8,22,213.798148,----------review.html
65.9,41,214.973852,----------review.html
47.9,21,215.724913,----------review.html
60.6,34,216.824471,----------review.html
44.3,17,217.471575,----------review.html
59.7,33,218.390823,----------review.html
50.5,25,219.231888,----------review.html
39.8,12,219.783429,----------review.html
39.9,11,220.266113,----------review.html
45.9,51,221.595509,questions.html
54.2,28,222.464037,----------review.html
44.4,16,223.054378,----------review.html
75.0,50,224.449055,----------review.html
44.9,51,225.756451,questions.html
60.6,34,226.700574,----------review.html
45.3,17,227.298893,----------review.html
43.5,15,227.887628,----------review.html
42.9,51,229.313243,questions.html
38.1,9,229.810872,----------review.html
65.1,39,230.884301,----------review.html
45.9,51,232.347749,questions.html
71.3,47,233.541869,----------review.html
45.9,51,234.777634,questions.html
43.9,51,236.133183,questions.html
62.4,36,237.101603,----------review.html
61.5,35,238.075788,----------review.html
45.3,17,238.673079,----------review.html
54.3,27,239.630464,----------review.html
45.9,51,240.891835,questions.html
43.9,51,242.188778,questions.html
65.9,41,243.31457,----------review.html
45.9,51,244.640566,questions.html
50.5,25,245.543936,----------review.html
43.4,16,246.369946,----------review.html
45.9,51,247.679013,questions.html
45.9,51,248.919667,questions.html
44.9,51,250.220083,questions.html
43.9,51,251.552793,questions.html
45.9,51,252.983603,questions.html
45.9,51,254.262579,questions.html
54.3,27,255.07553,----------review.html
44.9,51,256.552156,questions.html
45.9,51,257.852623,questions.html
45.9,51,259.2815,questions.html
54.3,27,260.324545,----------review.html
44.9,51,261.751377,questions.html
45.9,51,263.002425,questions.html
68.7,43,264.178889,----------review.html
45.9,51,265.424232,questions.html
45.9,51,266.681165,questions.html
45.9,51,268.075139,questions.html
44.9,51,269.34268,questions.html
44.9,51,270.619608,questions.html
44.9,51,271.923519,questions.html
44.9,51,273.260084,questions.html
45.9,51,274.933055,questions.html
60.6,34,275.996801,----------review.html
45.9,51,277.400101,questions.html
45.3,17,278.077986,----------review.html
45.9,51,279.469418,questions.html
44.9,51,280.851151,questions.html
45.9,51,282.416246,questions.html
45.9,51,283.70377,questions.html
44.9,51,285.046118,questions.html
45.9,51,286.593657,questions.html
45.9,51,287.938167,questions.html
45.9,51,289.422056,questions.html
45.9,51,290.746134,questions.html
45.9,51,292.122748,questions.html
45.9,51,293.54924,questions.html
45.9,51,294.889026,questions.html
45.9,51,296.42725,questions.html
45.9,51,297.780921,questions.html
44.9,51,299.124797,questions.html
45.9,51,300.519448,questions.html
45.9,51,301.906939,questions.html
45.9,51,303.332765,questions.html
44.9,51,304.714614,questions.html
45.9,51,306.078587,questions.html
45.9,51,307.497275,questions.html
44.9,51,308.985007,questions.html
45.9,51,310.567605,questions.html
45.9,51,311.93523,questions.html
44.9,51,313.313261,questions.html
45.9,51,314.690289,questions.html
45.9,51,316.114975,questions.html
45.9,51,317.627723,questions.html
44.9,51,319.09049,questions.html
45.9,51,320.458461,questions.html
45.9,51,321.832134,questions.html
45.9,51,323.209272,questions.html
45.9,51,324.771702,questions.html
45.9,51,326.29055,questions.html
45.9,51,327.673786,questions.html
44.9,51,329.054404,questions.html
45.9,51,330.439107,questions.html
45.9,51,331.981846,questions.html
45.9,51,333.485005,questions.html
45.9,51,334.895325,questions.html
45.9,51,336.232526,questions.html
44.9,51,337.67092,questions.html
