#{"t_start": 1761259717.0528424, "env_id": "None"}
r,l,t,page
24.82,18,2.065896,----------review.html
19.73,27,3.272926,----------review.html
8.66,34,4.715001,----------review.html
22.73,27,5.917367,----------review.html
30.86,14,6.705312,----------review.html
19.77,23,7.660154,----------review.html
33.89,11,8.396632,----------review.html
18.74,26,9.643839,----------review.html
13.66,34,11.064973,----------review.html
27.85,15,11.947395,----------review.html
21.76,24,13.127077,----------review.html
18.75,25,14.486999,----------review.html
16.66,34,16.002867,----------review.html
21.76,24,17.160733,----------review.html
19.78,22,18.280856,----------review.html
11.68,32,19.822149,----------review.html
8.64,36,21.628796,----------review.html
29.85,15,22.701113,----------review.html
18.72,28,24.268513,----------review.html
30.89,11,25.117804,----------review.html
30.84,16,26.344289,----------review.html
24.8,20,27.776788,----------review.html
28.86,14,28.802192,----------review.html
28.87,13,29.768594,----------review.html
25.82,18,30.712226,----------review.html
24.73,27,32.065631,----------review.html
23.76,24,33.392199,----------review.html
30.88,12,34.24962,----------review.html
28.87,13,35.042112,----------review.html
31.88,12,35.897369,----------review.html
-18.41,41,38.162161,questions.html
30.86,14,39.263588,----------review.html
13.68,32,40.775623,----------review.html
26.84,16,41.703156,----------review.html
31.87,13,42.659115,----------review.html
31.88,12,43.6436,----------review.html
33.89,11,44.432632,----------review.html
25.78,22,45.647512,----------review.html
34.91,9,46.324161,----------review.html
-24.41,41,48.111449,questions.html
28.83,17,49.125239,----------review.html
11.65,35,50.672195,----------review.html
20.79,21,51.798334,----------review.html
18.73,27,53.183684,----------review.html
19.76,24,54.326166,----------review.html
22.77,23,55.563518,----------review.html
29.85,15,56.551488,----------review.html
31.88,12,57.521127,----------review.html
32.88,12,58.341552,----------review.html
33.9,10,59.21128,----------review.html
33.9,10,59.995973,----------review.html
24.79,21,61.196351,----------review.html
32.9,10,61.874273,----------review.html
-16.41,41,63.752234,questions.html
10.63,37,65.665986,----------review.html
29.83,17,66.651928,----------review.html
28.82,18,67.712881,----------review.html
34.9,10,68.581128,----------review.html
30.89,11,69.57849,----------review.html
31.9,10,70.446255,----------review.html
31.89,11,71.324242,----------review.html
22.7,30,73.175328,----------review.html
33.9,10,73.931324,----------review.html
21.74,26,75.08245,----------review.html
24.77,23,76.226783,----------review.html
32.9,10,76.907803,----------review.html
28.83,17,77.81766,----------review.html
27.84,16,78.646328,----------review.html
29.83,17,79.524239,----------review.html
27.79,21,80.531325,----------review.html
30.8,20,81.522455,----------review.html
20.73,27,82.720375,----------review.html
31.89,11,83.433911,----------review.html
18.73,27,84.695955,----------review.html
28.85,15,85.581378,----------review.html
17.74,26,86.825234,----------review.html
21.77,23,87.893971,----------review.html
20.7,30,89.231407,----------review.html
31.86,14,90.03218,----------review.html
26.83,17,90.912448,----------review.html
20.71,29,92.214221,----------review.html
31.88,12,92.923912,----------review.html
18.74,26,94.053965,----------review.html
26.81,19,94.982756,----------review.html
31.81,19,95.94955,----------review.html
32.86,14,96.7415,----------review.html
